AnimeTitle,Japanese,Aired,Premiered,Synonyms,Duration,Status,MAL Score,Studios,Producers
Pokemon The Movie 12: Arceus and the Jewel of Life,バクテン,"Jul 2, 2022",Summer 2022,"Backflip,Bakuten",1h 30m,Finished Airing,?,Zexcs,Aniplex
Symphogear G,機動戦士ガンダム ククルス・ドアンの島,"Jun 3, 2022",Spring 2022,"The Tunnel to Summer, the Exit of Goodbye",1h 48m,Finished Airing,7.34,Sunrise,Bandai Namco Filmworks
[RAW] Blocker Gundan IV Machine Blaster,セカイが滅びる前にキミに会いたい,"Feb 6, 2021",Winter 2021,Delicious Party♡Pretty Cure Movie,31m,Finished Airing,5.27,,Studio Kingyoiro
Wolf's Rain,かぐや様は告らせたい -ファーストキッスは終わらない-,"Dec 17, 2022",Fall 2022,One Piece Movie 15,1h 36m,Finished Airing,8.91,A-1 Pictures,Shueisha
Phantasy Star Online 2 Comic,"夏へのトンネル, さよならの出口","Sep 9, 2022",Summer 2022,Dragon Ball Super Movie 2: Superhero,1h 23m,Finished Airing,7.4,CLAP,Pony Canyon
Fullmetal Alchemist: Brotherhood,デリシャスパーティ♡プリキュア (映画),"Sep 23, 2022",Summer 2022,Meitantei Conan: Halloween no Hanayome,1h 4m,Finished Airing,6.62,Mahou Shoujo,Toei Animation
Mezzo DSA,グッバイ、ドン・グリーズ！,"Feb 18, 2022",Winter 2022,"Legend of the Galactic Heroes: Die Neue These, Ginga Eiyuu Densetsu: Die Neue These Fourth Season, Ginga Eiyuu Densetsu: Die Neue These 4th Season",1h 35m,Finished Airing,7.29,Madhouse,Kadokawa
Gall Force: The Revolution,新神榜：杨戬,"Aug 19, 2022",Summer 2022,"TenSura, That Time I Got Reincarnated as a Slime Movie",2h 7m,Finished Airing,?,Light Chaser Animation Studios,GKIDS
Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!,からかい上手の高木さん,"Oct 6, 2022",Summer 2022,Suzume's Locking-Up,1h 13m,Finished Airing,8.57,Shin-Ei Animation,Shin-Ei Animation
Chrome Shelled Regios,ONE PIECE FILM RED,"Aug 6, 2022",Summer 2022,To All of You That I Loved,1h 55m,Finished Airing,7.96,,Toei Animation
.hack//G.U. Trilogy,ドラゴンボール超スーパーヒーロー,"Jun 11, 2022",Spring 2022,To the Only Me Who Loved You,1h 39m,Finished Airing,7.54,,Toei Animation
Karin,花子,?,,"Kyouko to Katsuya no Monogatari, The Story of Kyoko and Katsuya",4m,Finished Airing,5.92,,
That is the Bottleneck,名探偵コナン ハロウィンの花嫁,"Apr 15, 2022",Spring 2022,"Ghost in the Shell: Stand Alone Complex 2045, Ghost in the Shell: SAC_2045",1h 50m,Finished Airing,7.93,,TMS Entertainment
Touka Gettan,銀河英雄伝説 Die Neue These 策謀,"Sep 30, 2022 to Nov 25, 2022",Fall 2022,Kimetsu no Yaiba: Brother and Sister's Bond,25m,Finished Airing,?,Production I.G,Aiming
Here is Greenwood,劇場版 転生したらスライムだった件 紅蓮の絆編,"Nov 25, 2022",Fall 2022,Gekijouban Jujutsu Kaisen 0,1h 48m,Finished Airing,?,8bit,Bandai Namco Filmworks
"Momo, Girl God of Death",すずめの戸締まり,"Nov 11, 2022",Fall 2022,"UtaPri Movie 2, Uta no Prince-sama Maji Love Starish Tours Movie",2h ,Finished Airing,8.48,CoMix Wave Films,STORY
DRAMAtical Murder,劇場版 ソードアート・オンライン -プログレッシブ- 冥き夕闇のスケルツォ,"Oct 22, 2022",Fall 2022,"Gotoubun no Hanayome, The Five Wedded Brides, The Quintessential Quintuplets",1h 40m,Finished Airing,?,A-1 Pictures,Aniplex
Koi Koi Seven,僕が愛したすべての君へ,"Oct 7, 2022",Fall 2022,"JoJo's Bizarre Adventure, Battle Tendency",1h 42m,Finished Airing,?,Bakken Record,Dentsu
D.C.III: Da Capo III,君を愛したひとりの僕へ,"Oct 7, 2022",Fall 2022,OP,1h 38m,Finished Airing,?,TMS Entertainment,Dentsu
Grimoire of Zero,雨を告げる漂流団地,"Sep 16, 2022",Summer 2022,"Demon Slayer, Kimetsu no Yaiba",2h ,Finished Airing,?,Studio Colorido,Twin Engine
E's Otherwise,フルーツバスケット -prelude-,"Feb 18, 2022",Winter 2022,Iseleve,1h 28m,Finished Airing,8.6,TMS Entertainment,APDREAM
Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors,攻殻機動隊 SAC_2045 持続可能戦争,"Nov 12, 2021",Fall 2021,Naruto Hurricane Chronicles,1h 58m,Finished Airing,6.34,,
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai Specials,映画 ODD TAXI イン・ザ・ウッズ,"Apr 1, 2022",Spring 2022,"Hell's Paradise: Jigokuraku, Paradition, Heavenhell",2h 8m,Finished Airing,?,"OLM, P.I.C.S.",Pony Canyon
